Country Name,Country Code,Series Name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,GDP growth (annual %),,,,,,,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,3.900574875,2.690521948,1.310040404,2.366711916
Afghanistan,AFG,GDP per capita (constant 2005 US$),,,,,,,,,,,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.056525,617.8899723
Afghanistan,AFG,Exports of goods and services (% of GDP),,,,,,,,,,,32.38671874,43.55686929,33.99649426,27.39525556,26.47029266,17.82371427,17.99297469,14.70758895,10.02384975,6.107274005,5.516850325,6.307895036,6.567700049,7.002116918,6.89624956
Afghanistan,AFG,Imports of goods and services (% of GDP),,,,,,,,,,,65.28770401,94.34417017,87.13932444,77.46714501,74.08505675,58.35004683,55.07254555,42.19922847,44.94347835,44.19394807,39.14239744,49.7577749,45.77387714,48.80161503,49.02497729
Afghanistan,AFG,"Agriculture, value added (% of GDP)",,,,,,,,,,,37.93882062,36.86305768,29.39119563,30.78796707,28.28973831,29.79896553,24.69382301,29.13592844,26.07825278,23.57796869,23.64363865,22.58745316,22.00929802,20.54696588,20.96589761
Afghanistan,AFG,"Industry, value added (% of GDP)",,,,,,,,,,,23.38548244,22.37351707,25.93558204,26.53036849,27.86972021,26.60901164,26.70104173,21.77640153,21.04463784,22.5815595,20.99520665,20.40632187,21.12375692,22.03047123,21.70399519
Afghanistan,AFG,Tax revenue (% of GDP),,,,,,,,,,,,,,,6.883364339,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,7.081350026,6.842385662,7.553269089,
Afghanistan,AFG,"Total employment, total (ages 15+)",3358951,3564855,3828863,4228323,4266983,4377660,4478074,4591128,4740034,4957422,5419156,5735695,5980296,6378991,6487677,6697893,6743809,7043625,7159144,7457762,7881429,8286322,8734840,9193492,9618882
Afghanistan,AFG,"Self-employed, total (% of total employment) (modeled ILO estimate)",65.56500244,70.82099915,76.20400238,74.5,73.2559967,74.83999634,76.32099915,77.74500275,79.19000244,80.78399658,77.65399933,74.55899811,75.05599976,74.63999939,74.0059967,72.84799957,72.31999969,70.04299927,68.46199799,67.91500092,66.65799713,66.41300201,66.63600159,67.06999969,67.2480011
Afghanistan,AFG,New businesses registered (number),,,,,,,,,,,,,,,2252,2276,903,10082,12071,6465,20817,4638,3422,3009,3492
Afghanistan,AFG,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,GDP growth (annual %),-7.199999986,9.600000045,8.29999998,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,3.760853683,3.352610243,3.710057793,2.55016086,1.419967541,1.0007546,1.774368743,2.218752054,3.352159211
Albania,ALB,GDP per capita (constant 2005 US$),1288.258965,1420.573288,1547.954353,1764.699296,1937.290072,1738.16646,1906.717261,2177.896633,2337.942386,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.644432,4683.800213
Albania,ALB,Exports of goods and services (% of GDP),11.49043805,15.42252326,11.35168733,12.47537426,11.19576721,9.745654295,10.84430291,15.81673104,17.86708402,18.43157108,19.59887427,20.35591091,21.98293641,22.82407356,24.93399552,28.08422195,25.30240492,25.24073764,27.97947124,29.24150073,28.93748649,28.91635405,28.21297879,27.26738418,28.9234171
Albania,ALB,Imports of goods and services (% of GDP),88.51224849,62.29254565,38.9503248,34.51204773,32.02443573,34.18999543,34.63703792,32.21301696,38.0533447,38.99879016,44.33536647,45.08471104,44.37488902,47.47122764,48.52105365,54.78820068,52.14930616,49.8541677,48.56400031,51.97704781,47.57268698,46.95742841,47.19485515,44.53363192,45.7458451
Albania,ALB,"Agriculture, value added (% of GDP)",51.64187027,54.64097649,53.62098061,55.81214471,35.14885269,30.18670244,27.0722161,24.38560683,23.49864212,21.94827263,21.60039468,21.46859751,20.18078929,18.61080499,17.52964382,17.12855059,16.8370881,16.79440198,17.95585567,18.22676552,18.76679889,19.56517557,19.99015344,19.78021824,19.90672379
Albania,ALB,"Industry, value added (% of GDP)",23.32055881,22.90170682,21.73068405,22.49794167,14.38965454,14.19566716,11.64594009,12.56678356,14.81867528,16.4388412,17.46509574,20.45448807,21.6319758,22.10098528,22.8892517,21.83372069,25.16102246,24.41367287,24.93748687,24.48440846,22.91851297,23.06133801,21.50885745,21.76365481,21.13073352
Albania,ALB,Tax revenue (% of GDP),,,,13.42276821,8.553602234,9.479292857,13.70163251,,,,16.16084313,16.79084231,17.64535942,,,,,,,18.02201217,17.4832337,16.50327506,18.30194096,18.51578986,17.55717773
Albania,ALB,"Total employment, total (ages 15+)",1103796,1056370,1043688,1033693,1037080,1051155,1049752,1039118,1043704,1034794,1050567,1053869,1056414,1058291,1063701,1081808,1073591,1057915,1051676,1094029,1146944,1053747,1052702,1105349,1129074
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",62.80199814,71.59799957,72.14199829,71.01200104,72.02300262,61.98500061,71.05500031,72.26399994,68.81999969,69.18499756,66.90499878,66.98000336,66.78800201,66.0510025,65.68399811,65.20300293,59.29999924,58.63000107,56.20199966,60.95100021,64.23799896,59.66999817,58.43000031,59.01100159,59.43199921
Albania,ALB,New businesses registered (number),,,,,,,,,,,,,,,1417,2176,3005,2045,2088,1849,1886,2114,2219,2616,2679
